"id","Plate","Plate Rep","Genotype","Salt","Microbes","Row","Column","lon","lat","conc_corrected","BZT_percent_d","X10.FN","od600","od750","BZTalanine","glycosylatedBZT","BZTacetylalanine","aniline","amino_3_phenol","phenazine","methylBZT","methoxyBZT","km","density"
"2.1.C2",2,1,"RdM","0","Yes","C",2,76.743675,44.769978,0.13889120082508,86.110879917492,5,0.1015,0.0915,7.25502477512778e-12,5.73817732261937e-12,0,4.86760249250218e-12,3.17539990371718e-11,0,0,9.26994116317836e-12,244.544724180078,1120.51781113556
"2.1.C3",2,1,"Kls","0","Yes","C",3,79.945209,43.505815,0.0891038272036584,91.0896172796342,2,0.062,0.057,0,3.78929551192217e-12,0,9.42819921956774e-12,0,2.50379789350981e-12,5.387967309602e-12,1.37917378137832e-11,48.1996629382861,2000.12417974685
"2.1.C5",2,1,"Arb","0","Yes","C",5,79.7485,43.4353,0.10032325579684,89.967674420316,3,0.056,0.051,1.64877003405207e-11,0,1.25461224421988e-12,3.88288487131623e-12,1.25627742414751e-11,0,0,1.04095123972339e-12,38.1731833599356,7263.83274172874
"2.1.D2",2,1,"RdM","0.8","No","D",2,76.743675,44.769978,0.160267989842699,83.97320101573,5,0.0485,0.042,0,5.48406095270679e-12,0,9.88456945604953e-12,1.4130728031988e-11,2.11820903951966e-12,6.12399165852258e-12,4.43883564054908e-12,244.544724180078,1120.51781113556
"2.1.D3",2,1,"Kls","0.8","No","D",3,79.945209,43.505815,0.151584145255193,84.8415854744807,6,0.05,0.044,0,5.86539355010833e-12,0,6.11311930565557e-12,2.10522699311508e-11,4.59195627987563e-12,8.67948246681352e-12,7.98936217570869e-13,48.1996629382861,2000.12417974685
"2.1.D5",2,1,"Arb","0.8","No","D",5,79.7485,43.4353,0.0600284600318012,93.9971539968199,2,0.0575,0.0485,0,0,0,1.08562731503682e-11,0,2.18470017783286e-12,1.0489568305691e-11,7.5359514479702e-13,38.1731833599356,7263.83274172874
"2.2.A2",2,2,"RdM","0","No","A",2,76.743675,44.769978,0.0279290770067203,97.207092299328,5,0.0505,0.0455,0,5.11351463763562e-12,0,7.98723207573489e-12,0,2.86962291484258e-12,1.24021413527731e-11,4.31596061380032e-13,244.544724180078,1120.51781113556
"2.2.A3",2,2,"Kls","0","No","A",3,79.945209,43.505815,0.101512358245878,89.8487641754122,8,0.056,0.049,0,7.46722253755018e-12,0,1.0329873038334e-11,0,3.26474645152663e-12,5.86584493672778e-12,1.46737486244272e-12,48.1996629382861,2000.12417974685
"2.2.A5",2,2,"Arb","0","No","A",5,79.7485,43.4353,0.0725698427175288,92.7430157282471,3,0.1815,0.176,0,9.28054272069463e-12,0,7.89268753704497e-12,0,0,6.58068047295494e-12,4.23655780521876e-13,38.1731833599356,7263.83274172874
"20.1.A4",20,1,"Kls","0.8","Yes","A",4,79.945209,43.505815,0.083945980872485,91.6054019127515,4,0.0445,0.045,0,7.14385231550039e-12,0,8.65671100407784e-12,0,2.85377603328452e-12,0,4.09419856913604e-12,48.1996629382861,2000.12417974685
"20.1.B4",20,1,"Kls","0","No","B",4,79.945209,43.505815,0.138750396052244,86.1249603947756,4,0.057,0.05,0,5.9247507153267e-12,0,7.05302770746115e-12,0,5.89791955864849e-12,0,1.19246015706865e-12,48.1996629382861,2000.12417974685
"20.1.C4",20,1,"Kls","0.8","No","C",4,79.945209,43.505815,0.043358872149644,95.6641127850356,3,0.0625,0.0515,5.66203843244485e-12,6.14048393368296e-12,0,4.54793640638127e-12,0,7.34656472790493e-12,1.14956325987298e-11,2.01738955063682e-12,48.1996629382861,2000.12417974685
"20.2.B4",20,2,"Kls","0","Yes","B",4,79.945209,43.505815,0.0914007778775023,90.8599222122498,5,0.0415,0.0395,0,6.08806022170281e-12,0,5.25004221143326e-12,0,1.01434007374957e-11,0,2.84793167876524e-12,48.1996629382861,2000.12417974685
"21.1.A1",21,1,"LnH","0.8","Yes","A",1,81.305495,44.900322,0.0292480465156279,97.0751953484372,1,0.0445,0.0415,0,0,1.50392708914576e-12,1.82869278746761e-11,0,0,4.79411938691787e-12,2.26527791439812e-12,206.742414009813,980.562926514353
"21.1.A3",21,1,"Brk","0.8","Yes","A",3,78.978165,44.120014,0.0776387642732941,92.2361235726706,4,0.069,0.069,0,5.33016627793033e-12,0,1.78712223492432e-11,0,3.82191045644221e-12,4.12381766786185e-12,3.52191343361876e-13,61.2891573433552,1777.91505391307
"21.1.C1",21,1,"LnH","0","No","C",1,81.305495,44.900322,0.00985504988244278,99.0144950117557,2,0.0465,0.046,0,0,7.36415901101999e-13,5.85462099254119e-12,0,0,0,1.62093509167004e-12,206.742414009813,980.562926514353
"21.1.C3",21,1,"Brk","0","No","C",3,78.978165,44.120014,0.0503788720117266,94.9621127988273,7,0.0445,0.0405,0,6.07707625150321e-12,8.92492107007198e-13,4.87547815573051e-12,0,2.13686054307576e-12,0,3.63421112595723e-13,61.2891573433552,1777.91505391307
"21.2.B1",21,2,"LnH","0.8","No","B",1,81.305495,44.900322,0.019520134841586,98.0479865158414,2,0.044,0.0415,0,0,1.49915714410143e-12,2.77521508809392e-11,0,7.46662078752059e-12,0,2.43263665618756e-12,206.742414009813,980.562926514353
"21.2.B3",21,2,"Brk","0.8","No","B",3,78.978165,44.120014,0.0898542913868638,91.0145708613136,6,0.0475,0.0435,7.27592077996315e-12,7.50920008618713e-12,6.7251014443058e-13,3.24579431840851e-11,0,0,5.38796730960199e-12,3.80377546107129e-13,61.2891573433552,1777.91505391307
"21.2.D1",21,2,"LnH","0","Yes","D",1,81.305495,44.900322,0.0220648646822204,97.793513531778,1,0.0495,0.054,0,3.4710304777132e-12,0,9.93323176349331e-12,0,4.80359017129731e-12,0,2.73082435365716e-12,206.742414009813,980.562926514353
"21.2.D3",21,2,"Brk","0","Yes","D",3,78.978165,44.120014,0.085118712275707,91.4881287724293,2,0.1755,0.151,2.20793335182656e-11,1.54552306684976e-12,8.14156018184169e-13,1.78003048002383e-11,0,1.07050352219733e-12,0,0,61.2891573433552,1777.91505391307
"22.1.A3",22,1,"Mnt","0","No","A",3,76.7704,42.98299,0.0442716328559268,95.5728367144073,2,NA,NA,0,0,0,1.1547592747506e-11,1.03432677181326e-11,0,4.253485000442e-12,1.99168700744927e-12,224.368275312104,1575.11063515688
"22.1.B3",22,1,"Mnt","0","Yes","B",3,76.7704,42.98299,0.0836725412453654,91.6327458754635,6,NA,NA,0,6.19966663673361e-13,0,1.11497894495879e-11,2.0580467028424e-11,0,4.6115878986584e-12,2.6854789212618e-12,224.368275312104,1575.11063515688
"22.1.D3",22,1,"Mnt","0.8","Yes","D",3,76.7704,42.98299,0.0635802614785723,93.6419738521428,3,NA,NA,0,4.56506877934015e-12,6.97809090552094e-13,7.24058408493728e-12,1.29075016705949e-11,0,0,7.41671385914004e-13,224.368275312104,1575.11063515688
"22.2.D3",22,2,"Mnt","0.8","No","D",3,76.7704,42.98299,0.0689704721591165,93.1029527840884,2,NA,NA,0,1.11198778447321e-12,8.7616367542227e-13,2.10492579192598e-11,0,0,0,1.19893211222703e-12,224.368275312104,1575.11063515688
"23.1.A3",23,1,"Wlp","0.8","No","A",3,82.464411,42.545407,0.148236548042736,85.1763451957264,1,0.063,0.056,0,0,0,9.26818022842827e-12,9.7604738499201e-12,0,0,2.65524863299823e-12,279.136974791089,1313.03077520457
"23.1.A6",23,1,"Mnt","0.8","No","A",6,76.7704,42.98299,0.0563739197111698,94.362608028883,5,0.042,0.048,0,3.7226592870874e-12,0,1.26096586729014e-11,0,0,0,7.20510184129503e-13,224.368275312104,1575.11063515688
"23.1.D3",23,1,"Wlp","0.8","Yes","D",3,82.464411,42.545407,0.089926639579449,91.0073360420551,3,0.118,0.1045,0,0,0,2.00945858496467e-12,1.13719019498259e-11,0,0,8.36554123812475e-12,279.136974791089,1313.03077520457
"23.1.D6",23,1,"Mnt","0.8","Yes","D",6,76.7704,42.98299,0.0218035519902102,97.819644800979,6,0.0435,0.042,0,1.16724157228145e-12,0,2.79681664594912e-11,0,7.83539297736957e-12,0,3.59172010723456e-13,224.368275312104,1575.11063515688
